Trading_date,Trading_period,Node,Price
2016-01-05,23,MTR0331,76.41
2016-01-05,24,MTR0331,77.09
2016-01-05,25,MTR0331,75.21
2016-01-05,26,MTR0331,71.34
2016-01-05,27,MTR0331,71.09
2016-01-05,28,MTR0331,74.87
2016-01-05,29,MTR0331,71.01
2016-01-05,30,MTR0331,71.04
2016-01-05,31,MTR0331,72.01
2016-01-05,32,MTR0331,77.51
2016-01-05,33,MTR0331,77.9
2016-01-05,34,MTR0331,76.49
2016-01-05,35,MTR0331,71.73
2016-01-05,36,MTR0331,71.01
2016-01-05,37,MTR0331,64.6
2016-01-05,38,MTR0331,62.37
2016-01-05,39,MTR0331,61.41
2016-01-05,40,MTR0331,61.41
2016-01-05,41,MTR0331,61.31
2016-01-05,42,MTR0331,61.01
2016-01-05,43,MTR0331,63.94
2016-01-05,44,MTR0331,61.42
2016-01-05,45,MTR0331,71.21
2016-01-05,46,MTR0331,71.6
2016-01-05,47,MTR0331,63.36
2016-01-05,48,MTR0331,63.26
2016-01-06,1,MTR0331,74.15
2016-01-06,2,MTR0331,68.06
2016-01-06,3,MTR0331,60.39
2016-01-06,4,MTR0331,57.71
2016-01-06,5,MTR0331,57.7
2016-01-06,6,MTR0331,59.46
2016-01-06,7,MTR0331,59.45
2016-01-06,8,MTR0331,59.45
2016-01-06,9,MTR0331,59.44
2016-01-06,10,MTR0331,60.31
2016-01-06,11,MTR0331,57.85
2016-01-06,12,MTR0331,60.39
2016-01-06,13,MTR0331,69.23
2016-01-06,14,MTR0331,60.46
2016-01-06,15,MTR0331,61.52
2016-01-06,16,MTR0331,62.05
2016-01-06,17,MTR0331,72.13
2016-01-06,18,MTR0331,73.67
2016-01-06,19,MTR0331,63.3
2016-01-06,20,MTR0331,75.82
2016-01-06,21,MTR0331,71.65
2016-01-06,22,MTR0331,75.37
2016-01-06,23,MTR0331,63.58
2016-01-06,24,MTR0331,64.14
2016-01-06,25,MTR0331,64.49
2016-01-06,26,MTR0331,63.38
2016-01-06,27,MTR0331,66.33
2016-01-06,28,MTR0331,75.66
2016-01-06,29,MTR0331,74.66
2016-01-06,30,MTR0331,63.85
2016-01-06,31,MTR0331,76.1
2016-01-06,32,MTR0331,76.19
2016-01-06,33,MTR0331,78.9
2016-01-06,34,MTR0331,77.06
2016-01-06,35,MTR0331,77.72
2016-01-06,36,MTR0331,78.94
2016-01-06,37,MTR0331,77.78
2016-01-06,38,MTR0331,77.81
2016-01-06,39,MTR0331,76.89
